transcript_stable_ID,Count...1,Count...2,Count...3,Count...4,Count...5
C02A12.3,0,1,0,5,0
C02A12.4,2123,16569,43012,108098,13393
C02A12.5,0,3,22,8,0
C02A12.6,0,0,0,0,0
C02A12.8,0,0,2,0,0
C02A12.9,0,0,0,0,0
C02B10.1,508,522,432,542,583
C02B10.2,486,611,417,427,777
C02B10.3,19,53,33,22,11
C02B10.4,620,1288,888,459,1204
C02B10.5,342,849,449,193,355
C02B10.6,13,7,3,5,0
C02B4.1,17,180,138,74,40
C02B4.2,47,118,131,121,51
C02B4.3,0,0,0,0,0
C02B4.4,9,193,155,44,16
C02B8.1,12,27,41,12,5
C02B8.12,1,1,0,17,1
C02B8.2,0,0,4,5,5
C02B8.3,0,0,10,2,8
C02B8.4,13,74,60,33,8
C02B8.5,3,2,16,13,3
C02B8.6,32,129,80,44,65
C02B8.7,0,0,0,0,0
C02C2.1,208,324,348,190,289
C02C2.3,7,25,28,35,29
C02C2.4,11,18,33,22,21
C02C2.5,6,18,18,25,5
C02C6.1,617,1761,1681,663,836
C02C6.2,87,621,195,60,99
C02C6.3,49,162,122,48,73
C02D4.1,0,3,12,19,0
C02D4.2,2,16,5,12,4
C02D5.1,9,13,15,11,5
C02D5.2,18,99,59,21,30
C02D5.3,0,10,29,29,18
C02D5.4,154,382,356,231,362
C02E11.1,628,905,566,178,683
C02E7.1,0,5,2,3,1
C02E7.10,1,0,3,4,0
C02E7.13,4,0,0,0,0
C02E7.2,0,0,0,0,0
C02E7.3,0,0,0,0,0
C02E7.4,0,3,0,15,0
C02E7.5,0,0,0,0,0
C02E7.6,18,16,0,2,0
C02E7.7,10,18,8,9,4
C02E7.8,0,0,0,1,0
C02E7.9,0,2,5,5,0
C02F12.1,30,188,68,4,66
C02F12.10,0,26,39,28,11
C02F12.3,33,39,73,51,57
C02F12.4,97,188,77,59,125
C02F12.5,463,1428,2200,1312,2511
C02F12.7,40,596,586,181,89
C02F12.8,80,78,68,69,87
C02F12.9,0,2,0,0,0
C02F4.1,816,815,569,329,921
C02F4.2,952,2537,2295,2014,1685
C02F4.4,10,9,14,49,6
C02F4.5,0,0,0,2,0
