X,L4440_1,L4440_2,L4440_3,Y37A1B_5_1,Y37A1B_5_2,Y37A1B_5_3
WBGene00000675,1078,975,1564,2448,3661,4293
WBGene00000676,1,0,1,1,0,0
WBGene00000677,245,516,379,279,587,510
WBGene00000678,77,168,119,71,115,127
WBGene00000679,10,16,10,6,7,15
WBGene00000680,1859,1786,2387,3487,4536,5026
WBGene00000681,367,576,375,184,447,445
WBGene00000682,2,5,0,6,0,3
WBGene00000683,76,159,122,66,121,105
WBGene00000684,6,18,13,5,8,29
WBGene00000685,137,159,154,80,120,188
WBGene00000687,54,85,73,51,69,75
WBGene00000688,2,9,11,3,1,4
WBGene00000689,26,58,30,11,42,23
WBGene00000690,103,101,85,98,114,103
WBGene00000691,1130,1864,1564,630,1361,1518
WBGene00000692,70,80,85,89,106,127
WBGene00000693,958,1388,1120,2309,3049,2298
WBGene00000694,46,80,54,42,69,30
WBGene00000695,174,269,220,113,189,196
WBGene00000696,2704,2557,3517,5250,7536,6552
WBGene00000697,2,5,3,2,2,0
WBGene00000698,162,768,497,590,1323,789
WBGene00000699,715,1238,895,324,833,876
WBGene00000700,16,26,19,10,14,3
WBGene00000701,16,26,27,10,12,13
WBGene00000702,17,18,14,15,19,26
WBGene00000703,43,202,218,109,366,127
WBGene00000704,62,134,89,43,90,85
WBGene00000705,7,9,7,7,8,11
WBGene00000706,15,15,15,8,19,18
WBGene00000707,86,266,144,78,149,106
WBGene00000708,238,240,188,116,147,101
WBGene00000709,5,3,5,1,6,4
WBGene00000710,14,45,32,8,28,9
WBGene00000711,34,52,58,53,51,66
WBGene00000712,30,167,205,90,275,110
WBGene00000713,405,813,618,1135,1734,1332
WBGene00000714,14,15,8,7,16,12
WBGene00000715,96,109,121,127,238,154
WBGene00000716,985,1050,1457,2185,3196,2681
WBGene00000717,896,1358,1141,428,872,1029
WBGene00000718,227,386,295,120,235,227
WBGene00000719,138,241,226,93,139,166
WBGene00000720,285,395,356,158,317,319
WBGene00000721,1,1,0,1,1,1
WBGene00000722,61,104,137,22,106,114
WBGene00000723,15,32,27,15,31,31
WBGene00000724,4,5,2,1,3,2
WBGene00000725,1,2,0,4,7,0
WBGene00000726,29,57,37,41,41,46
WBGene00000727,118,237,167,94,139,130
WBGene00000728,107,252,167,105,146,140
WBGene00000729,61,197,65,61,66,84
WBGene00000730,66,169,91,55,77,114
WBGene00000731,114,112,131,194,247,282
WBGene00000732,199,406,291,147,328,285
WBGene00000733,607,1209,889,550,1209,996
WBGene00000734,118,318,146,85,172,133
WBGene00000735,93,247,114,69,125,106
WBGene00000736,3,8,6,7,5,3
WBGene00000737,4,4,6,3,7,5
WBGene00000738,221,317,196,169,261,88
WBGene00000739,1128,1644,1445,636,1236,1496
WBGene00000740,757,1144,1024,355,810,979
WBGene00000741,332,550,434,183,342,427
WBGene00000742,284,427,346,134,262,358
WBGene00000743,202,389,303,122,228,275
WBGene00000744,0,0,0,0,0,0
WBGene00000745,13,29,18,13,14,22
WBGene00000746,15,35,32,17,30,39
WBGene00000747,17,31,25,13,13,27
WBGene00000748,15,24,30,46,23,35
WBGene00000749,192,278,217,81,133,138
WBGene00000750,5,7,7,4,12,10
WBGene00000751,368,626,515,1075,1504,1248
WBGene00000752,203,334,269,543,791,674
WBGene00000753,154,298,205,74,143,215
